Strain,Clade,sub_clade,clade_subclade
NCPPB1006,1,A,1A
IoMN10D5R22,2,A,2A
IoMN3D1R32,2,A,2A
IoMN14D1R21,2,A,2A
IoMN15D1R31,2,A,2A
ICMP9132,,NA,12
ICMP9129,,NA,12
ICMP7712,,NA,12
IoMN19D2R31,3,A,3A
IoMN18D2R21,3,A,3A
IoMN8D4R22,3,A,3A
IoMN28D4R41,3,A,3A
L1818a6b4,4,B,4B
L777a5b1,4,B,4B
L787a5b1,4,B,4B
L797a5b1,4,B,4B
L807a5b1,4,B,4B
L817a5b2,4,A,4A
L827a5b2,4,A,4A
L837a5b2,4,A,4A
L898a5b2,4,A,4A
MardA1S4125,5,A,5A
MatA1109,7,A,7A
MatA2111,7,A,7A
MatA2122,7,A,7A
MatA2124,7,A,7A
L1217a1b4,7,A,7B
L1277a1b6,7,A,7B
L1327a1b5,7,A,7B
L1738a1b4,7,A,7B
L1227a1b4,7,A,7B
L1928a1b6,7,A,7B
L1958a2b6,7,B,7B
ICMP7711,,NA,12
CFBP5062,6,A,6A
L1778a4b5,6,B,6B
L1768a4b4,6,B,6B
L2018a3b5,6,B,6B
L2008a3b4,6,B,6B
C610a1b3,8,B,8B
C430a1s3,8,B,8B
C450a3s3,8,B,8B
C530a1b2,8,C,8C
C560a1b2,8,C,8C
C400a1s2,8,C,8C
C410a1s1,8,C,8C
C420a1s2,8,C,8C
C130a3b1,8,A,8A
C680a3b3,8,A,8A
C270a4b3,8,A,8A
C630a3b1,8,A,8A
W163A3B1,9,A,9A
W163a3b1,9,A,9A
W803a11b1,9,A,9A
W1113a7b3,9,A,9A
W313a1b1,10,A,10A
W273a3b5,9,A,9A
W323a3b6,9,A,9A
W1103a7b2,9,A,9A
W973a4b5,10,A,10A
W983a4b5,10,A,10A
W993a4b5,10,A,10A
W1003a4b5,10,A,10A
W213a1b1,10,A,10A
W1173a11b1,10,A,10A
W113a1b1,10,A,10A
W43a1b1,10,A,10A
W513a1b1,10,A,10A
W1153a9b3,10,A,10A
W1143a7b3,10,A,10A
W1123a7b3,10,A,10A
W613a1b1,10,A,10A
W13a1b1,10,A,10A
W813a1b1,10,A,10A
W413a4b3,10,A,10A
W423a4b3,10,A,10A
W433a4b3,10,A,10A
W943a4b4,10,A,10A
W953a4b4,10,A,10A
W1013a4b6,10,A,10A
W1023a4b6,10,A,10A
W1033a4b6,10,A,10A
W1063a7b2,10,A,10A
W1073a7b2,10,A,10A
W1083a7b2,10,A,10A
W1093a7b2,10,A,10A
W1163a11b1,10,A,10A
W913a1b2,10,A,10A
W1013a1b2,10,A,10A
W1113a1b2,10,A,10A
W1213a1b2,10,A,10A
W1313a1b2,10,A,10A
W1413a1b2,10,A,10A
W1513a1b2,10,A,10A
W1613a1b2,10,A,10A
W1713a1b3,10,A,10A
W1913a1b3,10,A,10A
W2013a1b3,10,A,10A
W2113a1b3,10,A,10A
W2313a1b3,10,A,10A
W2413a1b3,10,A,10A
W8913a5b3,10,A,10A
W9113a5b3,10,A,10A
W9213a5b3,10,A,10A
W9313a5b4,10,A,10A
W9613a5b4,10,A,10A
W9813a5b5,10,A,10A
W9913a5b5,10,A,10A
W10013a5b5,10,A,10A
W10213a5b6 ,10,A,10A
W10313a5b6,10,A,10A
W1053a5b6,10,A,10A
W913a3b4,10,A,10A
W903a3b4,10,A,10A
W923a3b4,10,A,10A
W893a3b4,10,A,10A
W1043a5b6,10,A,10A
W343a4b1,10,A,10A
W933a4b4,10,A,10A
W703a5b4,10,A,10A
W723a5b4,10,A,10A
W883a2b4,10,A,10A
W12913a12b2,10,A,10A
W13013a12b2,10,A,10A
W7113a4b2,10,A,10A
W6913a4b2,10,A,10A
W7213a4b2,10,A,10A
W183a3b2,10,A,10A
W193a3b2,10,A,10A
W203a3b2,10,A,10A
W573a5b1,10,A,10A
W583a5b1,10,A,10A
W593a5b1,10,A,10A
W603a5b1,10,A,10A
