Well,Strain,Assay_plate,Mutation
A1,W1413,S1,None
A2,W1513,S1,GacS
A3,W2013,S1,None
A4,W2313,S1,GacA
A5,W573,S1,GacS
A6,W593,S1,GacA
A7,W163_WT,S1,None
A8,W163_GacA,S1,GacS
A9,W163_GacS,S1,GacA
A10,W163_GacS_GacS,S1,GacS
A11,W163_GacS_EV,S1,GacS
A12,Control,S1,
B1,W1413,S1,None
B2,W1513,S1,GacS
B3,W2013,S1,None
B4,W2313,S1,GacA
B5,W573,S1,GacS
B6,W593,S1,GacA
B7,W163_WT,S1,None
B8,W163_GacA,S1,GacS
B9,W163_GacS,S1,GacA
B10,W163_GacS_GacS,S1,GacS
B11,W163_GacS_EV,S1,GacS
B12,Control,S1,
C1,W1413,S1,None
C2,W1513,S1,GacS
C3,W2013,S1,None
C4,W2313,S1,GacA
C5,W573,S1,GacS
C6,W593,S1,GacA
C7,W163_WT,S1,None
C8,W163_GacA,S1,GacS
C9,W163_GacS,S1,GacA
C10,W163_GacS_GacS,S1,GacS
C11,W163_GacS_EV,S1,GacS
C12,Control,S1,
D1,W1413,S1,None
D2,W1513,S1,GacS
D3,W2013,S1,None
D4,W2313,S1,GacA
D5,W573,S1,GacS
D6,W593,S1,GacA
D7,W163_WT,S1,None
D8,W163_GacA,S1,GacS
D9,W163_GacS,S1,GacA
D10,W163_GacS_GacS,S1,GacS
D11,W163_GacS_EV,S1,GacS
D12,Control,S1,
E1,W1413,S2,None
E2,W1513,S2,GacS
E3,W2013,S2,None
E4,W2313,S2,GacA
E5,W573,S2,GacS
E6,W593,S2,GacA
E7,W163_WT,S2,None
E8,W163_GacA,S2,GacS
E9,W163_GacS,S2,GacA
E10,W163_GacS_GacS,S2,GacS
E11,W163_GacS_EV,S2,GacS
E12,Control,S2,
F1,W1413,S2,None
F2,W1513,S2,GacS
F3,W2013,S2,None
F4,W2313,S2,GacA
F5,W573,S2,GacS
F6,W593,S2,GacA
F7,W163_WT,S2,None
F8,W163_GacA,S2,GacS
F9,W163_GacS,S2,GacA
F10,W163_GacS_GacS,S2,GacS
F11,W163_GacS_EV,S2,GacS
F12,Control,S2,
G1,W1413,S2,None
G2,W1513,S2,GacS
G3,W2013,S2,None
G4,W2313,S2,GacA
G5,W573,S2,GacS
G6,W593,S2,GacA
G7,W163_WT,S2,None
G8,W163_GacA,S2,GacS
G9,W163_GacS,S2,GacA
G10,W163_GacS_GacS,S2,GacS
G11,W163_GacS_EV,S2,GacS
G12,Control,S2,
H1,W1413,S2,None
H2,W1513,S2,GacS
H3,W2013,S2,None
H4,W2313,S2,GacA
H5,W573,S2,GacS
H6,W593,S2,GacA
H7,W163_WT,S2,None
H8,W163_GacA,S2,GacS
H9,W163_GacS,S2,GacA
H10,W163_GacS_GacS,S2,GacS
H11,W163_GacS_EV,S2,GacS
H12,Control,S2,
