plate,Assay_plate,Phenotype
plate1,S1,TSB
plate1,S2,TSB_Strep
plate2,S1,TSB_Pen
plate2,S2,TSB_Tet
plate3,S1,TSB_NaCl
plate3,S2,TSB_PEG
plate4,S1,KBB
plate4,S2,TSB
plate5,S1,KBB
plate5,S2,NA
plate6,S1,M9
plate6,S2,M9_Glyc
plate7,S1,M9_EToH50
plate7,S2,M9_EToH100
plate8,S1,M9_Gluc
plate8,S2,M9_Suc
plate9,S1,M9_Ser
plate9,S2,M9_Ser_Gluc
plate10,S1,M9_Val
plate10,S2,M9_Val_Gluc
plate11,S1,M9_Glut
plate11,S2,M9_Glut_Gluc
plate12,S1,M9_Quin
plate12,S2,M9_Quin_Gluc
plate13,S1,M9_Pcoum
plate13,S2,M9_Pcoum_Gluc
plate14,S1,M9_Frax_Gluc
plate14,S2,M9_Frax_Gluc
