Well,Strain,Assay_plate,Mutation
B2,W1413,S1,None
B3,W1513,S1,GacS
B4,W2013,S1,None
B5,W2313,S1,GacA
B6,W573,S1,GacS
B7,W593,S1,GacA
B8,W163_WT,S1,None
B9,W163_GacA,S1,GacS
B10,W163_GacS,S1,GacA
B11,Control,S1,
B12,Control,S1,
C2,W1413,S1,None
C3,W1513,S1,GacS
C4,W2013,S1,None
C5,W2313,S1,GacA
C6,W573,S1,GacS
C7,W593,S1,GacA
C8,W163_WT,S1,None
C9,W163_GacA,S1,GacS
C10,W163_GacS,S1,GacA
C11,Control,S1,
C12,Control,S1,
D2,W1413,S1,None
D3,W1513,S1,GacS
D4,W2013,S1,None
D5,W2313,S1,GacA
D6,W573,S1,GacS
D7,W593,S1,GacA
D8,W163_WT,S1,None
D9,W163_GacA,S1,GacS
D10,W163_GacS,S1,GacA
D11,Control,S1,
D12,Control,S1,
E2,W1413,S2,None
E3,W1513,S2,GacS
E4,W2013,S2,None
E5,W2313,S2,GacA
E6,W573,S2,GacS
E7,W593,S2,GacA
E8,W163_WT,S2,None
E9,W163_GacA,S2,GacS
E10,W163_GacS,S2,GacA
E11,Control,S2,
E12,Control,S2,
F2,W1413,S2,None
F3,W1513,S2,GacS
F4,W2013,S2,None
F5,W2313,S2,GacA
F6,W573,S2,GacS
F7,W593,S2,GacA
F8,W163_WT,S2,None
F9,W163_GacA,S2,GacS
F10,W163_GacS,S2,GacA
F11,Control,S2,
F12,Control,S2,
G2,W1413,S2,None
G3,W1513,S2,GacS
G4,W2013,S2,None
G5,W2313,S2,GacA
G6,W573,S2,GacS
G7,W593,S2,GacA
G8,W163_WT,S2,None
G9,W163_GacA,S2,GacS
G10,W163_GacS,S2,GacA
G11,Control,S2,
G12,Control,S2,
