No.,Tree,Inoculation,Sample,Replicate,pseudorep,colonies,dilution,cfu/ml,cfu_ml_scientific,log_cfu_ml,time
1,1,a,PBS,1,1,0,,0,0,0,T1
1,1,a,PBS,1,2,0,,0,0,0,T1
1,1,a,PBS,1,3,0,,0,0,0,T1
2,1,b,PBS,1,1,0,,0,0,0,T1
2,1,b,PBS,1,2,0,,0,0,0,T1
2,1,b,PBS,1,3,0,,0,0,0,T1
3,1,c,PBS,1,1,0,,0,0,0,T1
3,1,c,PBS,1,2,0,,0,0,0,T1
3,1,c,PBS,1,3,0,,0,0,0,T1
4,1,d,PBS,1,1,0,,0,0,0,T1
4,1,d,PBS,1,2,0,,0,0,0,T1
4,1,d,PBS,1,3,0,,0,0,0,T1
5,2,a,W15.13_WT,1,1,2,3,666666.6667,666666.6667,5.823909392,T1
5,2,a,W15.13_WT,1,2,4,3,1333333.333,1333333.333,6.124939062,T1
5,2,a,W15.13_WT,1,3,3,3,1000000,1000000,6.000000434,T1
6,2,b,W15.13_WT,1,1,1,3,333333.3333,333333.3333,5.522880048,T1
6,2,b,W15.13_WT,1,2,4,3,1333333.333,1333333.333,6.124939062,T1
6,2,b,W15.13_WT,1,3,1,3,333333.3333,333333.3333,5.522880048,T1
7,2,c,W15.13_WT,1,1,1,3,333333.3333,333333.3333,5.522880048,T1
7,2,c,W15.13_WT,1,2,2,3,666666.6667,666666.6667,5.823909392,T1
7,2,c,W15.13_WT,1,3,1,3,333333.3333,333333.3333,5.522880048,T1
8,2,d,W15.13_WT,1,1,2,4,6666666.667,6666666.667,6.823908806,T1
8,2,d,W15.13_WT,1,2,2,3,666666.6667,666666.6667,5.823909392,T1
8,2,d,W15.13_WT,1,3,1,4,3333333.333,3333333.333,6.522878876,T1
9,3,a,W16.3_GacA?,1,1,4,3,1333333.333,1333333.333,6.124939062,T1
9,3,a,W16.3_GacA?,1,2,4,3,1333333.333,1333333.333,6.124939062,T1
9,3,a,W16.3_GacA?,1,3,5,3,1666666.667,1666666.667,6.22184901,T1
10,3,b,W16.3_GacA?,1,1,4,3,1333333.333,1333333.333,6.124939062,T1
10,3,b,W16.3_GacA?,1,2,7,3,2333333.333,2333333.333,6.367976971,T1
10,3,b,W16.3_GacA?,1,3,5,3,1666666.667,1666666.667,6.22184901,T1
11,3,c,W16.3_GacA?,1,1,5,3,1666666.667,1666666.667,6.22184901,T1
11,3,c,W16.3_GacA?,1,2,3,3,1000000,1000000,6.000000434,T1
