No.,Tree,Inoculation,Sample,Symptom_score,mean_cfu_ml,Symptom_0_3,,
1,1,a,PBS,1,0,0,,
2,1,b,PBS,1,0,0,,
3,1,c,PBS,1,0,0,,
4,1,d,PBS,1,0,0,,got up to 9 - 09:31 150525
5,2,a,W15.13_WT,4,6.041646643,2,,
6,2,b,W15.13_WT,3,5.545608713,2,,
7,2,c,W15.13_WT,3,5.592718217,2,,
8,2,d,W15.13_WT,3,6.063962266,2,,
9,3,a,W16.3_GacA?,3,6.215939446,2,,
10,3,b,W16.3_GacA?,3,6.323345799,2,,
11,3,c,W16.3_GacA?,3,6.041646643,2,,
12,3,d,W16.3_GacA?,3,5.666022777,2,,
13,4,a,W16.3_GacS?,3,6.397295353,1,,
14,4,b,W16.3_GacS?,3,6.141989903,1,,
15,4,c,W16.3_GacS?,3,6.559405049,1,,
16,4,d,W16.3_GacS?,3,6.323345799,1,,
17,5,a,W16.3_WT,2,5.000004343,1,,
18,5,b,W16.3_WT,2,6.856212153,1,,
19,5,c,W16.3_WT,2,7.856212086,1,,
20,5,d,W16.3_WT,2,6.823908817,1,,
21,6,a,W23.13_WT,3,6.882605885,2,,
22,6,b,W23.13_WT,3,5.924252615,2,,
23,6,c,W23.13_WT,3,6.809057879,2,,
24,6,d,W23.13_WT,3,6.44301973,2,,
25,7,a,WT:GacA_1:2,2,8.015252501,2,,
26,7,b,WT:GacA_1:2,3,7.083292527,2,,
27,7,c,WT:GacA_1:2,3,7.147899198,2,,
28,7,d,WT:GacA_1:2,3,7.215939187,2,,
29,8,a,WT:GacA_2:1,5,8.115595832,3,,
30,8,b,WT:GacA_2:1,2,6.782262575,2,,
31,8,c,WT:GacA_2:1,5,8.024595409,3,,
32,8,d,WT:GacA_2:1,2,6.982949206,2,,
33,9,a,PBS,1,0,0,,
34,9,b,PBS,1,0,0,,
35,9,c,PBS,1,0,0,,
36,9,d,PBS,1,0,0,,
37,10,a,W15.13_WT,2,6.668584205,1,,
38,10,b,W15.13_WT,2,7.115595869,2,,
39,10,c,W15.13_WT,2,6.518767633,1,,
40,10,d,W15.13_WT,3,6.731453465,2,,
41,11,a,W16.3_GacA?,4,4.84096682,2,,
42,11,b,W16.3_GacA?,5,5.476924036,3,,
43,11,c,W16.3_GacA?,3,5.708313781,2,,
44,11,d,W16.3_GacA?,3,5.316284628,1,,
45,12,a,W16.3_GacS?,2,5.355650901,1,,
46,12,b,W16.3_GacS?,2,6.370901619,1,,
47,12,c,W16.3_GacS?,2,4.782270457,1,,
48,12,d,W16.3_GacS?,3,5.015256984,2,,
49,13,a,W16.3_WT,5,5.623223163,3,,
50,13,b,W16.3_WT,5,5.16430869,3,,
51,13,c,W16.3_WT,5,5.623223163,3,,
52,13,d,W16.3_WT,5,0,3,,
53,14,a,W23.13_WT,3,6.39023226,2,,
54,14,b,W23.13_WT,3,5.674799074,2,,
55,14,c,W23.13_WT,3,6.056899155,2,,
56,14,d,W23.13_WT,4,6.382042861,2,,
57,15,a,WT:GacA_1:2,4,5.47532437,1,,
58,15,b,WT:GacA_1:2,2,6.681919265,1,,
59,15,c,WT:GacA_1:2,2,6.242333174,1,,
60,15,d,WT:GacA_1:2,3,6.301030213,2,,
61,16,a,WT:GacA_2:1,2,6.924252127,1,,
62,16,b,WT:GacA_2:1,5,6.015252945,3,,
63,16,c,WT:GacA_2:1,4,7.147899198,2,,
64,16,d,WT:GacA_2:1,3,6.782262575,2,,
65,17,a,PBS,1,0,0,,
66,17,b,PBS,1,0,0,,
67,17,c,PBS,1,0,0,,
68,17,d,PBS,1,0,0,,
69,18,a,W15.13_WT,5,6.727281279,3,,
70,18,b,W15.13_WT,5,6.982949206,3,,
71,18,c,W15.13_WT,4,7.364991857,3,,
72,18,d,W15.13_WT,5,6.711179722,3,,
73,19,a,W16.3_GacA?,3,5.283981507,2,,
74,19,b,W16.3_GacA?,3,5.316284628,2,,
75,19,c,W16.3_GacA?,3,6.056899155,2,,
76,19,d,W16.3_GacA?,4,5.000004343,2,,
77,20,a,W16.3_GacS?,3,4.924258587,2,,
78,20,b,W16.3_GacS?,3,5.397296954,2,,
79,20,c,W16.3_GacS?,3,3.882674583,2,,
80,20,d,W16.3_GacS?,2,NA,1,,
81,21,a,W16.3_WT,3,6.186621111,2,,
82,21,b,W16.3_WT,3,6.041646643,2,,
83,21,c,W16.3_WT,3,6.723565496,2,,
84,21,d,W16.3_WT,2,6.105608475,1,,
85,22,a,W23.13_WT,3,4.623232934,2,,
86,22,b,W23.13_WT,2,0,1,,
87,22,c,W23.13_WT,3,6.956555463,2,,
88,22,d,W23.13_WT,3,2.174292959,2,,
89,23,a,WT:GacA_1:2,3,6.238255014,2,,
90,23,b,WT:GacA_1:2,5,5.924252724,2,,
91,23,c,WT:GacA_1:2,5,6.296952065,2,,
92,23,d,WT:GacA_1:2,4,6.073949959,2,,
93,24,a,WT:GacA_2:1,5,4.882611618,3,,
94,24,b,WT:GacA_2:1,5,6.083292889,3,,
95,24,c,WT:GacA_2:1,5,5.056902868,3,,
96,24,d,WT:GacA_2:1,4,5.723566277,3,,
97,25,a,PBS,1,0,0,,
98,25,b,PBS,1,0,0,,
99,25,c,PBS,1,0,0,,
100,25,d,PBS,1,0,0,,
101,26,a,W15.13_WT,4,5.796323767,2,,
102,26,b,W15.13_WT,4,5.917861548,2,,
103,26,c,W15.13_WT,4,5.306297001,2,,
104,26,d,W15.13_WT,4,5.274638684,2,,
105,27,a,W16.3_GacA?,2,5.083296472,1,,
106,27,b,W16.3_GacA?,2,5.238257332,1,,
107,27,c,W16.3_GacA?,3,5.676010497,2,,
108,27,d,W16.3_GacA?,2,5.316284628,1,,
109,28,a,W16.3_GacS?,2,4.530367861,1,,
110,28,b,W16.3_GacS?,3,5.858268156,1,,
111,28,c,W16.3_GacS?,2,5.355650901,1,,
112,28,d,W16.3_GacS?,2,0,1,,
113,29,a,W16.3_WT,3,7.723565417,2,,
114,29,b,W16.3_WT,3,8.083292495,3,,
115,29,c,W16.3_WT,2,8.782262496,2,,
116,29,d,W16.3_WT,3,7.956555415,2,,
117,30,a,W23.13_WT,5,4.863275193,3,,
118,30,b,W23.13_WT,5,7.296951866,3,,
119,30,c,W23.13_WT,4,6.609569316,3,,
120,30,d,W23.13_WT,5,7.522878758,3,,
121,31,a,WT:GacA_1:2,3,7.056898784,2,,
122,31,b,WT:GacA_1:2,4,6.28397939,3,,
123,31,c,WT:GacA_1:2,3,7.840959589,1,,
124,31,d,WT:GacA_1:2,2,8.000000004,1,,
125,32,a,WT:GacA_2:1,3,6.296952065,2,,
126,32,b,WT:GacA_2:1,4,6.882605896,2,,
127,32,c,WT:GacA_2:1,5,7.257585431,3,,
128,32,d,WT:GacA_2:1,4,5.382044505,3,,
